Naoki|||Abe|||and|||Hiroshi|||Mamitsuka.|||1998.|||Query normal hasYear noLongAuthorLine other TOKEN-Naoki N Na Nao Naok i ki oki aoki InitCap nonNum 0 no no no no no no TOKEN-Abe A Ab Abe Abe e be Abe Abe InitCap nonNum 5 maleName no lastName no no no TOKEN-Query Q Qu Que Quer y ry ery uery InitCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
learning|||strategies|||using|||boosting|||and|||bagging.|||In normal noYear noLongAuthorLine other TOKEN-learning l le lea lear g ng ing ning others nonNum 32 no no no no no publisherName TOKEN-strategies s st str stra s es ies gies others nonNum 0 no no no no no no TOKEN-In I In In In n In In In InitCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
Proc.|||International|||Conference|||on|||Machine|||Learn- normal noYear noLongAuthorLine hyphen TOKEN-Proc. P Pr Pro Proc . c. oc. roc. InitCap nonNum 0 no no no no no no TOKEN-International I In Int Inte l al nal onal InitCap nonNum 32 no no no no no publisherName TOKEN-Learn- L Le Lea Lear - n- rn- arn- InitCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_yes xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
ing,pages|||1–9. short noYear noLongAuthorLine period TOKEN-ing,pages i in ing ing, s es ges ages others nonNum 0 no no no no no no TOKEN-1–9. 1 1– 1–9 1–9. . 9. –9. 1–9. others 2dig 0 no no no no no no TOKEN-1–9. 1 1– 1–9 1–9. . 9. –9. 1–9. others 2dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_yes xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
Ove|||Andersen,|||Ronald|||Kuhn,|||Ariane|||Lazaridès,|||Paul normal noYear isLongAuthorLine other TOKEN-Ove O Ov Ove Ove e ve Ove Ove InitCap nonNum 0 no no no no no no TOKEN-Andersen, A An And Ande , n, en, sen, InitCap nonNum 4 no no lastName no no no TOKEN-Paul P Pa Pau Paul l ul aul Paul InitCap nonNum 5 maleName no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
Dalsgaard,|||Jürgen|||Haas,|||and|||Elmar|||Nöth.|||1996. normal hasYear noLongAuthorLine period TOKEN-Dalsgaard, D Da Dal Dals , d, rd, ard, InitCap nonNum 0 no no no no no no TOKEN-Jürgen J Jü Jür Jürg n en gen rgen InitCap nonNum 0 no no no no no no TOKEN-1996. 1 19 199 1996 . 6. 96. 996. others year 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
Comparison|||of|||two|||tree-structured|||approaches|||for normal noYear noLongAuthorLine other TOKEN-Comparison C Co Com Comp n on son ison InitCap nonNum 0 no no no no no no TOKEN-of o of of of f of of of others nonNum 48 no no no no placeName publisherName TOKEN-for f fo for for r or for for others nonNum 32 no no no no no publisherName xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
grapheme-to-phoneme|||conversion.|||InProc.|||Inter- normal noYear noLongAuthorLine hyphen TOKEN-grapheme-to-phoneme g gr gra grap e me eme neme others nonNum 0 no no no no no no TOKEN-conversion. c co con conv . n. on. ion. others nonNum 0 no no no no no no TOKEN-Inter- I In Int Inte - r- er- ter- InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
national|||Conference|||on|||Spoken|||Language|||Process- normal noYear noLongAuthorLine hyphen TOKEN-national n na nat nati l al nal onal others nonNum 0 no no no no no no TOKEN-Conference C Co Con Conf e ce nce ence InitCap nonNum 0 no no no no no no TOKEN-Process- P Pr Pro Proc - s- ss- ess- InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_yes xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
ing,volume|||3,|||pages|||1700–1703. short hasYear noLongAuthorLine period TOKEN-ing,volume i in ing ing, e me ume lume others nonNum 0 no no no no no no TOKEN-3, 3 3, 3, 3, , 3, 3, 3, others 1dig 0 no no no no no no TOKEN-1700–1703. 1 17 170 1700 . 3. 03. 703. others 4+dig 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_yes xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
R.|||Harald|||Baayen,|||Richard|||Piepenbrock,|||and|||Leon|||Gu- normal noYear noLongAuthorLine hyphen TOKEN-R. R R. R. R. . R. R. R. singleCap nonNum 0 no no no no no no TOKEN-Harald H Ha Har Hara d ld ald rald InitCap nonNum 1 maleName no no no no no TOKEN-Gu- G Gu Gu- Gu- - u- Gu- Gu- InitCap nonNum 4 no no lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new unknown
likers,|||1996.The|||CELEX2|||lexical|||database.Lin- normal hasYear noLongAuthorLine hyphen TOKEN-likers, l li lik like , s, rs, ers, others nonNum 0 no no no no no no TOKEN-1996.The 1 19 199 1996 e he The .The others hasDig 0 no no no no no no TOKEN-database.Lin- d da dat data - n- in- Lin- others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
guistic|||Data|||Consortium,|||Univ.|||of|||Pennsylvania. normal noYear noLongAuthorLine period TOKEN-guistic g gu gui guis c ic tic stic others nonNum 0 no no no no no no TOKEN-Data D Da Dat Data a ta ata Data InitCap nonNum 0 no no no no no no TOKEN-Pennsylvania. P Pe Pen Penn . a. ia. nia. InitCap nonNum 16 no no no no placeName no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue unknown
Complete|||System normal noYear noLongAuthorLine other TOKEN-Complete C Co Com Comp e te ete lete InitCap nonNum 0 no no no no no no TOKEN-System S Sy Sys Syst m em tem stem InitCap nonNum 0 no no no no no no TOKEN-System S Sy Sys Syst m em tem stem InitCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new unknown
